id,estate,town,school,km,car_am_min,pt_am_min,adv_am_min,car_pm_min,pt_pm_min,adv_pm_min,adv_day_min,depart_car,depart_pt,arrive_car,arrive_pt,pt_walk_min,pt_wait_min,pt_transfers,car_raw_am,car_am_min_old135
81,Punggol – Punggol Drive,Punggol,Pasir Ris Secondary School,6.62,22.0,64.2,42.2,22.0,55.0,33.0,75.2,07:08,06:26,16:22,16:55,21.6,7.9,2,14.5,24.6
82,Bedok – Bedok South Avenue 2,Bedok,Assumption English School,19.35,44.5,78.7,34.2,43.1,92.2,49.1,83.3,06:46,06:11,16:43,17:32,21.2,7.1,2,33.6,50.4
83,Toa Payoh – Lorong 4 Toa Payoh,Toa Payoh,Swiss Cottage Secondary School,11.48,35.1,71.5,36.4,34.9,62.3,27.4,63.8,06:55,06:18,16:35,17:02,24.0,0.0,0,25.6,39.6
84,Pasir Ris – Pasir Ris Street 51,Pasir Ris,Nan Hua High School,21.35,50.7,77.2,26.5,51.8,73.4,21.6,48.1,06:39,06:13,16:52,17:13,15.2,4.1,1,38.9,57.5
85,Tampines – Tampines Street 21,Tampines,Northbrooks Secondary School,13.89,43.9,91.6,47.7,43.6,81.9,38.3,86.0,06:46,05:58,16:44,17:22,25.6,7.5,2,33.1,49.7
86,Choa Chu Kang – Choa Chu Kang North 6,Choa Chu Kang,Temasek Secondary School,23.98,56.1,95.1,39.0,55.4,82.2,26.8,65.8,06:34,05:55,16:55,17:22,5.9,6.7,2,43.5,63.7
87,Tengah – Plantation Crescent,Tengah,Dunman High School,17.6,42.1,76.2,34.1,45.2,73.0,27.8,61.9,06:48,06:14,16:45,17:13,16.2,11.9,2,31.6,47.7
88,Geylang – Circuit Road,Geylang,Woodgrove Secondary School,15.06,38.8,56.6,17.8,38.6,60.1,21.5,39.3,06:51,06:33,16:39,17:00,18.1,3.4,1,28.8,43.9
89,Jurong East – Jurong East Street 21,Jurong East,"School Of Science And Technology, Singapore",5.05,18.6,21.8,3.2,21.7,29.1,7.4,10.6,07:11,07:08,16:22,16:29,4.8,0.0,0,11.6,20.7
90,Punggol – Edgedale Plains,Punggol,Singapore Chinese Girls' School,12.48,35.3,49.8,14.5,38.8,52.6,13.8,28.3,06:55,06:40,16:39,16:53,14.8,6.0,2,25.8,39.8
91,Jurong West – Jurong West Street 42,Jurong West,Bukit Merah Secondary School,12.24,31.0,53.3,22.3,32.6,50.5,17.9,40.2,06:59,06:37,16:33,16:50,10.5,8.0,2,22.1,34.8
92,Yishun – Yishun Street 22,Yishun,Regent Secondary School,10.72,39.8,49.1,9.3,37.2,40.0,2.8,12.1,06:50,06:41,16:37,16:40,17.3,3.1,1,29.6,45.0
94,Geylang – Sims Drive,Geylang,Bedok View Secondary School,7.5,26.4,38.0,11.6,24.0,32.7,8.7,20.3,07:04,06:52,16:24,16:33,16.2,5.7,2,18.2,29.6
95,Yishun – Yishun Street 11,Yishun,Bendemeer Secondary School,12.04,38.1,45.8,7.7,37.0,44.4,7.4,15.1,06:52,06:44,16:37,16:44,12.3,3.0,1,28.2,43.1
96,Tampines – Tampines Street 21,Tampines,Fajar Secondary School,20.94,46.9,83.9,37.0,44.8,83.4,38.6,75.6,06:43,06:06,16:45,17:23,17.6,0.0,0,35.7,53.2
97,Tengah – Sungei Tengah Road,Tengah,Anglo-Chinese School,11.72,39.5,109.2,69.7,37.9,80.0,42.1,111.8,06:50,05:41,16:38,17:20,52.1,8.1,2,29.4,44.7
98,Choa Chu Kang – Teck Whye Lane,Choa Chu Kang,Woodlands Secondary School,7.08,25.8,33.3,7.5,25.8,39.8,14.0,21.5,07:04,06:57,16:26,16:40,10.6,5.3,2,17.7,28.9
99,Jurong East – Jurong East Street 31,Jurong East,Whitley Secondary School,12.44,36.6,84.1,47.5,36.4,100.0,63.6,111.1,06:53,06:06,16:36,17:40,41.7,9.3,2,26.9,41.3
100,Clementi – Clementi West Street 2,Clementi,Deyi Secondary School,11.97,39.0,60.2,21.2,34.7,57.8,23.1,44.3,06:51,06:30,16:35,16:58,14.1,8.3,2,28.9,44.0
