blk_no,street,town_code,town,lat,lon,total_dwelling_units,max_floor_lvl,year_completed
158,TAMPINES ST 12,TAP,TAMPINES,1.35141456108805,103.94585904859301,110,12,1983
158,WOODLANDS ST 13,WL,WOODLANDS,1.4340321572914698,103.77477997615999,110,12,1984
158,YISHUN ST 11,YS,YISHUN,1.4324077710829,103.83452492794001,24,4,1984
158,YUNG LOH RD,JW,JURONG WEST,1.32896082457079,103.722279551998,122,18,1994
158A,JLN TECK WHYE,CCK,CHOA CHU KANG,1.37966151992616,103.756569564489,0,5,1996
158A,PASIR RIS ST 13,PRC,PASIR RIS,1.3641761862274298,103.96168157980401,0,4,1993
158A,RIVERVALE CRES,SK,SENGKANG,1.3887201881252598,103.90686905980499,102,18,2001
158B,RIVERVALE CRES,SK,SENGKANG,1.3884133801872,103.90667617933799,102,18,2001
158C,RIVERVALE CRES,SK,SENGKANG,1.38818825958938,103.90714582971701,102,18,2001
158D,RIVERVALE CRES,SK,SENGKANG,1.3884193202487298,103.90724190193701,102,18,2001
159,ANG MO KIO AVE 4,AMK,ANG MO KIO,1.37479893193048,103.839858129785,23,4,1981
159,BEDOK STH AVE 3,BD,BEDOK,1.31904563538919,103.94562449702299,96,13,1984
159,BISHAN ST 13,BH,BISHAN,1.34681399053574,103.855776492186,20,4,1987
159,BT BATOK ST 11,BB,BUKIT BATOK,1.34857537953677,103.742708636413,0,3,1984
159,HOUGANG ST 11,HG,HOUGANG,1.35144317409159,103.87951331223101,104,14,1997
159,JLN TECK WHYE,CCK,CHOA CHU KANG,1.3802164465773201,103.75646374210301,107,16,1996
159,LOR 1 TOA PAYOH,TP,TOA PAYOH,1.3307454292856102,103.845601223103,154,12,1971
159,MEI CHIN RD,QT,QUEENSTOWN,1.29323624252206,103.802903940154,0,2,2009
159,PASIR RIS ST 13,PRC,PASIR RIS,1.3637440377924699,103.961284660576,28,9,1993
159,RIVERVALE CRES,SK,SENGKANG,1.38832549680241,103.907562174604,0,1,2001
159,SIMEI RD,TAP,TAMPINES,1.3448018291405601,103.959861576671,32,4,1988
159,TAMPINES ST 12,TAP,TAMPINES,1.35104130847406,103.94605153937599,132,12,1983
159,WOODLANDS ST 13,WL,WOODLANDS,1.4336789656238702,103.774587099483,110,12,1984
159,YISHUN ST 11,YS,YISHUN,1.43279272238886,103.834028314438,88,12,1984
159,YUNG PING RD,JW,JURONG WEST,1.32928599309239,103.72238572895,74,20,1994
159A,HOUGANG ST 11,HG,HOUGANG,1.35209060355777,103.879314590828,0,6,1996
159A,RIVERVALE CRES,SK,SENGKANG,1.38786019069675,103.90728961451401,96,18,2001
16,BEDOK STH RD,BD,BEDOK,1.3205522193871202,103.935539171613,0,1,2012
16,CANTONMENT CL,BM,BUKIT MERAH,1.273919926125,103.84026093092899,145,30,2000
16,COMPASSVALE LINK,SK,SENGKANG,1.38423314148457,103.896052449104,0,2,2014
16,DAKOTA CRES,GL,GEYLANG,1.3061708198826598,103.884888897347,12,3,1958
16,EUNOS CRES,GL,GEYLANG,1.32299431214868,103.90444977961201,152,12,1976
16,GHIM MOH RD,QT,QUEENSTOWN,1.309408104537,103.788085613356,208,14,1976
16,HOUGANG AVE 3,HG,HOUGANG,1.36282221723956,103.891046555478,76,20,1975
16,JLN TENTERAM,KWN,KALLANG/WHAMPOA,1.32813370856148,103.859559950361,154,22,1999
16,JOO SENG RD,TP,TOA PAYOH,1.33647717186604,103.880345921024,68,18,1983
